Fecha,Año,Mes,Nombre_Mes,Trimestre,Dia_Semana,Nombre_Dia,Semana_Año,Es_Fin_Semana
2023-04-19,2023,4,April,Q2,3,Wednesday,16,0
2023-04-20,2023,4,April,Q2,4,Thursday,16,0
2023-04-21,2023,4,April,Q2,5,Friday,16,0
2023-04-22,2023,4,April,Q2,6,Saturday,16,1
2023-04-23,2023,4,April,Q2,7,Sunday,16,1
2023-04-24,2023,4,April,Q2,1,Monday,17,0
2023-04-25,2023,4,April,Q2,2,Tuesday,17,0
2023-04-26,2023,4,April,Q2,3,Wednesday,17,0
2023-04-27,2023,4,April,Q2,4,Thursday,17,0
2023-04-28,2023,4,April,Q2,5,Friday,17,0
2023-04-29,2023,4,April,Q2,6,Saturday,17,1
2023-04-30,2023,4,April,Q2,7,Sunday,17,1
2023-05-01,2023,5,May,Q2,1,Monday,18,0
2023-05-02,2023,5,May,Q2,2,Tuesday,18,0
2023-05-03,2023,5,May,Q2,3,Wednesday,18,0
2023-05-04,2023,5,May,Q2,4,Thursday,18,0
2023-05-05,2023,5,May,Q2,5,Friday,18,0
2023-05-06,2023,5,May,Q2,6,Saturday,18,1
2023-05-07,2023,5,May,Q2,7,Sunday,18,1
2023-05-08,2023,5,May,Q2,1,Monday,19,0
2023-05-09,2023,5,May,Q2,2,Tuesday,19,0
2023-05-10,2023,5,May,Q2,3,Wednesday,19,0
2023-05-11,2023,5,May,Q2,4,Thursday,19,0
2023-05-12,2023,5,May,Q2,5,Friday,19,0
2023-05-13,2023,5,May,Q2,6,Saturday,19,1
2023-05-14,2023,5,May,Q2,7,Sunday,19,1
2023-05-15,2023,5,May,Q2,1,Monday,20,0
2023-05-16,2023,5,May,Q2,2,Tuesday,20,0
2023-05-17,2023,5,May,Q2,3,Wednesday,20,0
2023-05-18,2023,5,May,Q2,4,Thursday,20,0
2023-05-19,2023,5,May,Q2,5,Friday,20,0
2023-05-20,2023,5,May,Q2,6,Saturday,20,1
2023-05-21,2023,5,May,Q2,7,Sunday,20,1
2023-05-22,2023,5,May,Q2,1,Monday,21,0
2023-05-23,2023,5,May,Q2,2,Tuesday,21,0
2023-05-24,2023,5,May,Q2,3,Wednesday,21,0
2023-05-25,2023,5,May,Q2,4,Thursday,21,0
2023-05-26,2023,5,May,Q2,5,Friday,21,0
2023-05-27,2023,5,May,Q2,6,Saturday,21,1
2023-05-28,2023,5,May,Q2,7,Sunday,21,1
